pcr_lab_id,pcr_date,id_tag,assay,threshold,run_inhibited,inhibition_ct,mean_ct,wells_amplified,wells,well_1_ct,well_2_ct,well_3_ct,std_curve,mean_quant,sd_quant,efficiency,r2,final_data
NGC,1/25/2024,271_E5_48 HR,DMAR,0.039999999,N,-0.005085621,0,0,3,Undetermined,Undetermined,Undetermined,Y,0,0,85.1592505,0.995220868,2
NGC,1/25/2024,271_E6_48 HR,DMAR,0.039999999,N,-0.018438789,0,0,3,Undetermined,Undetermined,Undetermined,Y,0,0,85.1592505,0.995220868,2
NGC,1/25/2024,271_E6_72 HR,DMAR,0.039999999,N,0.000845507,0,0,3,Undetermined,Undetermined,Undetermined,Y,0,0,85.1592505,0.995220868,2
NGC,1/25/2024,271_F2_72 HR,DMAR,0.039999999,N,-0.150384126,0,0,3,Undetermined,Undetermined,Undetermined,Y,0,0,85.1592505,0.995220868,2
NGC,1/25/2024,565_F4_1 HR,DMAR,0.039999999,N,0.003272574,37.26145882,1,3,Undetermined,Undetermined,37.26145882086688,Y,1.016274465,1.760239008,85.1592505,0.995220868,2
NGC,1/25/2024,565_F4_72 HR,DMAR,0.039999999,N,-0.024173457,0,0,3,Undetermined,Undetermined,Undetermined,Y,0,0,85.1592505,0.995220868,2
NGC,1/25/2024,565_F6_4 HR,DMAR,0.039999999,N,-0.019533344,0,0,3,Undetermined,Undetermined,Undetermined,Y,0,0,85.1592505,0.995220868,2
NGC,1/25/2024,565_F6_48 HR,DMAR,0.039999999,N,0.008556881,0,0,3,Undetermined,Undetermined,Undetermined,Y,0,0,85.1592505,0.995220868,2
NGC,1/25/2024,565_F6_72 HR,DMAR,0.039999999,N,-0.063836696,0,0,3,Undetermined,Undetermined,Undetermined,Y,0,0,85.1592505,0.995220868,2
NGC,1/25/2024,617_G1_4 HR,DMAR,0.039999999,N,0.038273771,36.84256611,1,3,Undetermined,36.842566114994966,Undetermined,Y,1.315477221,2.278473384,85.1592505,0.995220868,2
NGC,1/25/2024,617_G3_24 HR,DMAR,0.039999999,N,0.04423054,0,0,3,Undetermined,Undetermined,Undetermined,Y,0,0,85.1592505,0.995220868,2
