Location,Date,Precip (sum during course of survey period) (mm),Temp1,Temp2,Effort
FSE,12062023,0,12.9,15.7,692
FSW,12072023,0,14.7,17.9,824
"FSE,FSW",12182023,0,17.1,14.6,NA
FSE,01112024,0,10.4,11.6,350
FSW,01192024,0,11,15,484
FSE,02202024,0,11.6,16.9,488
FSW,02212024,0,13.4,17.9,327
"FSE,FSW",02012024,0,18.9,18.4,NA
"FSE,FSW",03072024,0,18.6,22.3,NA
CNF,12212023,0,13.4,17.5,330
CNF,02062024,0,14.2,18.2,368
CNF,02282024,0,23.9,27.1,369
ABPR,02242024,0,16.86,22.88,330
ABPR,1022024,0,6.65,13.28,360
ABPR,1032024,0.254,8.27,12.02,360
ABPR,1042024,0,8.26,14.52,1215
ABPR,1052024,0,8.03,18.02,240
ABPR,1062024,0,20.77,20.77,NA
ABPR,1152024,0,12.91,19.84,330
ABPR,1162024,0.254,4.92,4.1,180
ABPR,1302024,0,15.96,18.44,210
ABPR,1312024,0,14.7,18.43,2460
ABPR,2212024,0.508,13.14,21.46,435
ABPR,3132024,0,12.3,23.33,540
ABPR,11292023,0,9.16,13.98,360
ABPR,11302023,0.762,8.04,16.14,420
ABPR,12112023,0,7.93,15.51,930
